No,Index,R2_Without,MAE_Without,RMSE_Without,R2_Change,MAE_Change,RMSE_Change,Original_Residual,Original_Abs_Residual
39.0,37.0,0.6872865205358435,6.625581809307818,8.063127863505377,0.0541318838816095,-0.4360636735399872,-0.6700390962411547,0.7023610081027112,0.7023610081027112
30.0,28.0,0.6853206579576677,6.598178653418845,8.088432445290174,0.05216602130343373,-0.46346682942895967,-0.6447345144563581,-0.3091987343547973,0.3091987343547973
36.0,34.0,0.6809025522348687,6.282017191581865,8.145015426439864,0.04774791558063474,-0.77962829126594,-0.588151533306668,-4.651875749832179,4.651875749832179
27.0,25.0,0.676638738022745,6.284835947172413,8.199252131959812,0.043484101368511,-0.7768095356753921,-0.5339148277867203,0.2913129087396733,0.2913129087396733
28.0,26.0,0.666749588384625,6.717449170854722,8.323684169228557,0.033594951730390954,-0.3441963119930831,-0.4094827905179752,-0.2840344591926254,0.2840344591926254
29.0,27.0,0.6433612120638523,6.884703038311565,8.61082044820308,0.010206575409618335,-0.1769424445362402,-0.12234651154345144,0.4436255686073416,0.4436255686073416
43.0,41.0,0.6377550781824997,7.218985320391343,8.678234851281731,0.004600441528265664,0.15733983754353797,-0.05493210846480068,0.31294512123290374,0.31294512123290374
38.0,36.0,0.6358507206921227,7.058817474860014,8.701016120448374,0.0026960840378886797,-0.002828007987790926,-0.03215083929815776,-18.341875749832177,18.341875749832177
52.0,50.0,0.6348722604291099,7.061554161906775,8.712697987909785,0.0017176237748759426,-9.132094102959343e-05,-0.02046897183674723,-0.4801429153360104,0.4801429153360104
35.0,33.0,0.6331225611610257,7.122026252132016,8.73354874801838,-3.20754932082723e-05,0.06038076928421088,0.0003817882718486487,7.538124250167822,7.538124250167822
41.0,39.0,0.6254951611085269,7.21495507441427,8.823867186318322,-0.007659475545707117,0.1533095915664653,0.09070022657179067,-0.030298554799077948,0.030298554799077948
37.0,35.0,0.6173946229550785,7.266967989882333,8.918786760556465,-0.015760013699155473,0.20532250703452792,0.185619800809933,-17.51187574983218,17.51187574983218
46.0,44.0,0.6133800713017818,7.4257834474361974,8.965455599385951,-0.019774565352452145,0.36413796458839265,0.23228863963941926,-0.7579717829680988,0.7579717829680988
40.0,38.0,0.6082021817958121,7.430744193520905,9.025291807536968,-0.024952454858421902,0.36909871067310007,0.29212484779043635,-1.3650133041175168,1.3650133041175168
50.0,48.0,0.5970637398926375,7.362358506758957,9.15268301037901,-0.03609089676159649,0.3007130239111522,0.41951605063247754,4.521324446980209,4.521324446980209
47.0,45.0,0.539647641659577,8.154371600443397,9.783076105842353,-0.09350699499465698,1.0927261175955927,1.0499091460958212,-0.5529525711133338,0.5529525711133338
31.0,29.0,0.5170382089614345,8.065393291957797,10.02043632370563,-0.1161164276927995,1.003747809109992,1.2872693639590977,-0.9731538727126434,0.9731538727126434
44.0,42.0,0.17487133852131942,8.567680834394233,13.097580680303363,-0.4582832981329146,1.5060353515464282,4.364413720556831,0.8158843325288672,0.8158843325288672
